Qty,Value,Device,Package,Tolerance,Rating,Parts,Description,LCSC Price 1,LCSC Price 10,LCSC Price 100,LCSC Price 1000,LCSC PN,LCSC Link,Digikey Price 1,Digikey Link,Alt Supplier,Alt Supplier Link
1,0,R-US_R0805,R0805,5%, 1/8,R2,"RESISTOR, American symbol",,,0.000742,0.000541,C60485,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_0R-0R-5_C60485.html,,,,
3,100k,R-US_R0805,R0805,5%, 1/8,"R6, R7, R9","RESISTOR, American symbol",,,0.000952,0.000655,C25803,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0603WAF1003T5E_C25803.html,,,,
3,100n,C-US_CHIP-0805(2012-METRIC),CAPC2012X110,5%,,"C1, C2, C3",Capacitor - ANSI,,0.008193,0.005957,0.005546,C1760,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21F104ZBCNNNC_100nF-104-80-20-50V_C1760.html,,,,
4,330,R-US_R0805,R0805,5%, 1/8,"R1, R3, R4, R5","RESISTOR, American symbol",,,0.0015,0.001113,C384242,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Walsin-Tech-Corp-Walsin-Tech-Corp-330R-331-5_C384242.html,,,,
1,,ATMEGA328PB-MUR,32M1-A_MCH,,,U1,,,,,,,,1.33,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA328PB-MUR/5638755,,
1,Green,LEDCHIPLED_0805,CHIPLED_0805,,,LED2,LED,,0.062285,0.04642,0.040591,C73546,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_0805-Green_C73546.html,,,,
24,Red,LEDCHIP-LED0805,CHIP-LED0805,,,"LED1, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25",LED,,0.012612,0.01051,0.009417,C72037,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_0805-Red-LED-Iv-61mcd-Typ-atIF-20mA_C72037.html,,,,
1,3V,CR2032 Battery,CR2032,,,,"Battery, Coin, 3V",,,,,,,,,0.1162,"https://www.aliexpress.com/item/1005001508410289.html?spm=a2g0o.productlist.0.0.43ca290dmQJGn9&s=p&ad_pvid=202010011511551186862986940820013865820_6&algo_pvid=adaa03cd-23d7-47d1-86f4-bc273e884c2c&algo_expid=adaa03cd-23d7-47d1-86f4-bc273e884c2c-5&btsid=0bb0623a16015903150761393e4635&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
1,,SK-3296S-01-L1,SK-3296S-01-L1,,,U$1,"SPDT Slide Switch, Right Angle",,0.044631,0.032969,0.028685,C319020,https://lcsc.com/product-detail/Toggle-Switches_XKB-Connectivity-SK-3296S-01-L1_C319020.html,,,,
1,,TS-1102S-C-A-B,TS-1102S-C-A-B,,,U$2,"4-pin Momentary Push Button, SPDT",,0.018396,0.013587,0.011821,C381038,https://lcsc.com/product-detail/Tactile-Switches_XKB-Connectivity-TS-1102S-C-A-B_C381038.html,,,,
1,,TC2030-IDC-NL,TAG_TC2030-IDC-NL,,,J1,PROGRAMMING CABLE ADAPTER 6 POS,,,,,,,,,,
1,,BUTTON_PASSIVE12MM,BUTTON_PASSIVE_12MM,,,B1,"Button, Passive Capacitive/Touch Sensing Type",,,,,,,,,,
1,,RK-2032,RK-2032,,,U$3,"Battery Retainer Coin, 20.0mm 1 Cell SMD (SMT) Tab",,,,,,,,,,
