"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"BUILT_BY";"CATEGORY";"COPYRIGHT";"DESCRIPTION";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"NOPOP";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PACKAGE";"PART_STATUS";"POPULARITY";"PRICE";"ROHS_COMPLIANT";"SERIES";"SOURCELIBRARY";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";"VENDOR";"VOLTAGE_RATING";
"1";"";"PMOSSOT23";"SOT-23";"T1";"MOS FET";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"15";"";"";"";"";"";"";"";"";"";"";"";
"1";"0";"R-US_R0805";"R0805";"R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"NOPOP";"";"";"";"";"";"85";"";"";"";"";"R";"";"";"";"";"";"";
"2";"100k";"R-US_R0805";"R0805";"R6, R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"R";"";"";"";"";"";"";
"1";"100k";"R-US_R0805";"R0805";"R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"NOPOP";"";"";"";"";"";"85";"";"";"";"";"R";"";"";"";"";"";"";
"3";"100n";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C1, C2, C3";"Capacitor - ANSI";"";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"330";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"R";"";"";"";"";"";"";
"1";"ATMEGA328PB-ANR";"ATMEGA328PB-ANR";"32A_MCH";"U1";"";"";"EMA_Molly";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"ATMEGA328PB-ANR";"";"";"";"";"";"";"";"";"";"";"";"";"";"Microchip_2019-09-03";"";"";"";"";"";"Microchip";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$4, U$5, U$6";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"Green";"LEDCHIP-LED0805";"CHIP-LED0805";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";"";"";"";"";"";"";"";
"2";"NOPOP";"SJW";"SJW";"SJ1, SJ2";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PB2";"TS-1102S-C-A-B";"TS-1102S-C-A-B";"PB2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RK-2032";"RK-2032";"RK-2032";"BAT1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23";"Red";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";"";"";"";"";"";"";"";
"1";"Red";"LEDCHIPLED_0805";"CHIPLED_0805";"LED25";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"";"";"";"";"";"";
"1";"SK-3296S-01-L1";"SK-3296S-01-L1";"SK-3296S-01-L1";"PB1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TC2030-IDC-NL";"TC2030-IDC-NL";"TAG_TC2030-IDC-NL";"J1";"CABLE ADAPTER 6 POS";"Unavailable";"";"";"";" 6-PIN PLUG-OF-NAILS CABLE 6 ";"";"";"Tag-Connect";"TC2030-IDC-NL";"";"";"";"";"";"Package ";"";"";"None";"";"";"";"";"";"";"";"";"";"";
