BAT1, 13.86, 30.60, 90.00, RK-2032, RK-2032
C1, 9.95, 55.01, 270.00, 100n, CAPC2012X110
C2, 31.20, 54.20, 90.00, 100n, CAPC2012X110
C3, 28.80, 54.22, 90.00, 100n, CAPC2012X110
J1, 39.55, 65.67, 90.00, TC2030-IDC-NL, TAG_TC2030-IDC-NL
LED1, 17.49, 95.01, 0.00, Red, CHIP-LED0805
LED10, 30.01, 75.00, 270.00, Red, CHIP-LED0805
LED11, 29.99, 72.51, 270.00, Red, CHIP-LED0805
LED12, 27.50, 70.00, 180.00, Red, CHIP-LED0805
LED13, 22.48, 70.00, 180.00, Red, CHIP-LED0805
LED14, 17.50, 70.01, 180.00, Red, CHIP-LED0805
LED15, 14.99, 72.50, 90.00, Red, CHIP-LED0805
LED16, 14.99, 75.00, 90.00, Red, CHIP-LED0805
LED17, 14.99, 77.50, 90.00, Red, CHIP-LED0805
LED18, 14.99, 80.00, 90.00, Red, CHIP-LED0805
LED19, 14.99, 85.00, 90.00, Red, CHIP-LED0805
LED2, 22.51, 95.01, 0.00, Green, CHIP-LED0805
LED20, 15.01, 87.50, 90.00, Red, CHIP-LED0805
LED21, 14.99, 90.00, 90.00, Red, CHIP-LED0805
LED22, 15.00, 92.50, 90.00, Red, CHIP-LED0805
LED23, 17.50, 82.50, 90.00, Red, CHIP-LED0805
LED24, 22.51, 82.51, 180.00, Red, CHIP-LED0805
LED25, 27.50, 82.50, 270.00, Red, CHIPLED_0805
LED3, 27.49, 95.01, 0.00, Red, CHIP-LED0805
LED4, 30.01, 92.51, 270.00, Red, CHIP-LED0805
LED5, 30.01, 90.01, 270.00, Red, CHIP-LED0805
LED6, 30.01, 87.51, 270.00, Red, CHIP-LED0805
LED7, 30.01, 85.01, 270.00, Red, CHIP-LED0805
LED8, 30.00, 80.00, 270.00, Red, CHIP-LED0805
LED9, 30.00, 77.50, 270.00, Red, CHIP-LED0805
PB1, 4.22, 49.12, 270.00, SK-3296S-01-L1, SK-3296S-01-L1
PB2, 8.40, 9.51, 0.00, PB2, TS-1102S-C-A-B
R1, 22.48, 76.49, 270.00, 330, R0805
R6, 11.03, 58.54, 180.00, 100k, R0805
R7, 29.98, 57.84, 180.00, 100k, R0805
R8, 30.01, 60.02, 180.00, 0, R0805
R9, 9.98, 62.51, 270.00, 100k, R0805
SJ1, 4.20, 17.00, 90.00, NOPOP, SJW
SJ2, 6.90, 42.60, 0.00, NOPOP, SJW
T1, 9.50, 15.53, 90.00, , SOT-23
U$4, 5.03, 5.04, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$5, 39.99, 5.04, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$6, 5.00, 94.99, 0.00, FIDUCIAL, FIDUCIAL_1MM
U1, 20.00, 55.01, 0.00, ATMEGA328PB-ANR, 32A_MCH
